Comment,Description,Designator,Footprint,LibRef,Quantity
,,,,,
1N4007,"Rectifier diode 1000 V 1 A DO-41, ,",D1,FP-1N4007-MFG,CMP-123542-000001-1,1
WP7113LZGCK,Green 525nm LED Indication - Discrete 2.65V Radial,D2,WP7113LZGCK,WP7113LZGCK,1
G050P03T,"P-30V,-85A,RD(MAX)<5M@-10V,VTH-1",Q1,FP-340AT-MFG,CMP-00278-84330911-1,1
IRLZ44PBF, MOSFET N-CH 60V 50A TO220AB,Q2,FP-PG-TO220-3-MFG,CMP-32901-000590-1,1
PTN10-D100HB20,"10 mm, 1 MÎ©, Linear, Through Hole, Vertical, Shaftless Hexagonal Trimmer Potentiometer","R1, R9, R13",TRIM_PTN10-D100HB20,PTN10-D100HB20,3
MFR-25FRF52-10K,RES 280K OHM 1/4W 1% AXIAL,"R2, R10",RESAD1100W55L680D260,MFR-25FRF52-10K,2
PTN10-D11HB20,,"R3, R11",TRIM_PTN10-D11HB20,PTN10-D11HB20,2
RC1206JR-070RL,RES SMD 0 OHM JUMPER 1/4W 1206,"R4, R6, R8, R14, R15, R16, R17",FP-RC1206-MFG,CMP-2100-03681-2,7
MFR-25FBF52-100K,"Axial Resistor, 100 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 2-Pin THD, RoHS, Bulk","R5, R7, R12",RESA60-630X240,CMP-1659-00073-1,3
RNF14FTD7K50,RES 280K OHM 1/4W 1% AXIAL,R18,RESAD1100W55L680D260,MFR-25FRF52-10K,1
GPTS203211B,Pushbutton Switch SPST Standard Through Hole,SW1,GPTS203211B,GPTS203211B,1
LM393AP,IC DUAL DIFF COMPARATOR 8-DIP,U1,FP-P0008A-MFG,CMP-04896-000062-1,1
CD4001UBE,"CMOS Quad 2-Input NOR Gate, N0014A, TUBE",U2,N0014A,CMP-0806-00187-3,1
AP7381-50V-A,Linear Voltage Regulator IC Positive Fixed 1 Output 150mA TO-92,U3,TO92254P480H870-3,AP7381-50V-A,1
ATtiny13A-PU,"8-bit AVR Microcontroller, 1.8-5.5V, 20MHz, 1KB Flash, 64 Bytes EEPROM, 64 Bytes SRAM, 8-pin PDIP, Industrial Grade (-40°C to 85°C), Pb-Free",U5,8P3,CMP-0093-00049-2,1
MCP9700A-E/TO,"Temperature Sensor Analog, Local -40Â°C ~ 125Â°C 10mV/Â°C TO-92-3",U6,TO127P254X533-3,MCP9700A-E/TO,1
